Battery-1,Battery-2,Battery-3,Battery-4
6.66,13.02,0.01,0.01
6.66,13.02,0.01,0.01
6.66,13.02,0.01,0.01
6.66,13.02,0.01,0.01
6.65,13.02,0.01,0.01
6.65,13.02,0.01,0.01
6.65,13.02,0.01,0.01
6.65,13.02,0.01,0.01
6.65,13.02,0.01,0.01
6.64,13.02,0.01,0.01
6.64,13.01,0.01,0.01
6.64,13.01,0.01,0.01
6.64,13.01,0.01,0.01
6.56,12.86,0.01,0.01
6.64,13.02,0.01,0.01
6.64,13.01,0.01,0.01
6.62,13.02,0.01,0.01
6.64,13.01,0.01,0.01
6.62,13.01,0.01,0.01
6.62,13.01,0.01,0.01
6.62,13.01,0.01,0.01
6.62,13.01,0.01,0.01
6.62,13.01,0.01,0.01
6.62,13.01,0.01,0.01
6.62,13.01,0.01,0.01
6.62,13.01,0.01,0.01
6.61,13.01,0.01,0.01
6.62,13.01,0.01,0.01
6.62,12.99,0.01,0.01
6.62,13.01,0.01,0.01
6.62,13.01,0.01,0.01
6.61,12.99,0.01,0.01
6.61,12.99,0.01,0.01
6.61,13.01,0.01,0.01
6.61,12.99,0.01,0.01
6.61,12.99,0.01,0.01
6.61,12.99,0.01,0.01
6.61,12.99,0.01,0.01
6.61,12.99,0.01,0.01
6.61,12.99,0.01,0.01
6.61,12.99,0.01,0.01
6.61,12.99,0.01,0.01
6.61,12.99,0.01,0.01
6.61,12.99,0.01,0.01
6.61,12.99,0.01,0.01
6.61,12.98,0.01,0.01
6.61,12.99,0.01,0.01
6.61,12.99,0.01,0.01
6.60,12.99,0.01,0.01
6.61,12.98,0.01,0.01
6.61,12.98,0.01,0.01
6.61,12.99,0.01,0.01
6.60,12.98,0.01,0.01
6.60,12.98,0.01,0.01
6.60,12.98,0.01,0.01
6.60,12.98,0.01,0.01
6.60,12.98,0.01,0.01
6.60,12.98,0.01,0.01
6.60,12.98,0.01,0.01
6.60,12.98,0.01,0.01
6.60,12.98,0.01,0.01
6.60,12.97,0.01,0.01
6.60,12.98,0.01,0.01
6.60,12.98,0.01,0.01
6.60,12.98,0.01,0.01
6.60,12.97,0.01,0.01
6.60,12.97,0.01,0.01
6.60,12.97,0.01,0.01
6.60,12.97,0.01,0.01
6.60,12.97,0.01,0.01
6.58,12.97,0.01,0.01
6.60,12.97,0.01,0.01
6.58,12.97,0.01,0.01
6.57,12.98,0.01,0.01
6.58,12.97,0.01,0.01
6.58,12.97,0.01,0.01
6.58,12.97,0.01,0.01
6.58,12.97,0.01,0.01
6.58,12.97,0.01,0.01
6.60,12.95,0.01,0.01
6.58,12.97,0.01,0.01
6.58,12.97,0.01,0.01
6.58,12.97,0.01,0.01
6.58,12.97,0.01,0.01
6.58,12.97,0.01,0.01
6.58,12.97,0.01,0.01
6.58,12.97,0.01,0.01
6.58,12.95,0.01,0.01
6.58,12.95,0.01,0.01
6.58,12.95,0.01,0.01
6.58,12.95,0.01,0.01
6.58,12.95,0.01,0.01
6.58,12.95,0.01,0.01
6.58,12.95,0.01,0.01
6.58,12.95,0.01,0.01
6.58,12.95,0.01,0.01
6.58,12.95,0.01,0.01
6.58,12.95,0.01,0.01
6.57,12.95,0.01,0.01
6.58,12.95,0.01,0.01
6.57,12.95,0.01,0.01
6.57,12.95,0.01,0.01
6.58,12.95,0.01,0.01
6.58,12.94,0.01,0.01
6.57,12.95,0.01,0.01
6.57,12.95,0.01,0.01
6.57,12.94,0.01,0.01
6.57,12.95,0.01,0.01
6.57,12.95,0.01,0.01
6.57,12.95,0.01,0.01
6.57,12.94,0.01,0.01
6.57,12.94,0.01,0.01
6.57,12.95,0.01,0.01
6.57,12.94,0.01,0.01
6.57,12.94,0.01,0.01
6.57,12.94,0.01,0.01
6.57,12.94,0.01,0.01
6.57,12.94,0.01,0.01
6.57,12.94,0.01,0.01
6.57,12.94,0.01,0.01
6.57,12.95,0.01,0.01
6.57,12.94,0.01,0.01
6.57,12.94,0.01,0.01
6.57,12.94,0.01,0.01
6.56,12.94,0.01,0.01
6.56,12.94,0.01,0.01
6.56,12.94,0.01,0.01
6.56,12.94,0.01,0.01
6.56,12.94,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.94,0.01,0.01
6.56,12.94,0.01,0.01
6.56,12.94,0.01,0.01
6.57,12.94,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.94,0.01,0.01
6.56,12.94,0.01,0.01
6.56,12.94,0.01,0.01
6.56,12.93,0.01,0.01
6.57,12.94,0.01,0.01
6.56,12.94,0.01,0.01
6.57,12.93,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.94,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.91,0.01,0.01
6.56,12.91,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.91,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.91,0.01,0.01
6.56,12.93,0.01,0.01
6.54,12.91,0.01,0.01
6.56,12.93,0.01,0.01
6.56,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.56,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.93,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.93,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.53,12.91,0.01,0.01
6.53,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.53,12.91,0.01,0.01
6.53,12.91,0.01,0.01
6.53,12.93,0.01,0.01
6.53,12.91,0.01,0.01
6.53,12.91,0.01,0.01
6.53,12.91,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.91,0.01,0.01
6.54,12.90,0.01,0.01
6.54,12.91,0.01,0.01
6.54,12.91,0.01,0.01
6.53,12.90,0.01,0.01
6.54,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.91,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.91,0.01,0.01
6.53,12.91,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.52,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.52,12.90,0.01,0.01
6.52,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.89,0.01,0.01
6.53,12.89,0.01,0.01
6.53,12.89,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.89,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.90,0.01,0.01
6.53,12.89,0.01,0.01
6.53,12.89,0.01,0.01
6.52,12.90,0.01,0.01
6.52,12.90,0.01,0.01
6.52,12.90,0.01,0.01
6.52,12.90,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.53,12.89,0.01,0.01
6.53,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.88,0.01,0.01
6.53,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.89,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.86,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.50,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.86,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.88,0.01,0.01
6.50,12.88,0.01,0.01
6.52,12.86,0.01,0.01
6.52,12.88,0.01,0.01
6.52,12.86,0.01,0.01
6.50,12.88,0.01,0.01
6.52,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.52,12.86,0.01,0.01
6.52,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
6.50,12.86,0.01,0.01
