ADCRef50v,Battery-1,Battery-2,Battery-3,Battery-4,CRC8
4.48,4.37,12.54,0.01,0.01,106
4.49,4.38,12.54,0.01,0.01,81
4.49,4.38,12.54,0.01,0.01,81
4.49,4.38,12.54,0.01,0.01,81
4.49,4.38,12.53,0.01,0.01,72
4.49,4.38,12.53,0.01,0.01,72
4.49,4.38,12.53,0.01,0.01,72
4.49,4.38,12.53,0.01,0.01,72
4.49,4.38,12.55,0.01,0.01,132
4.49,4.38,12.52,0.01,0.01,157
4.54,4.38,12.53,0.01,0.01,255
4.54,4.38,12.53,0.01,0.01,255
4.54,4.38,12.52,0.01,0.01,42
4.54,4.38,12.52,0.01,0.01,42
4.54,4.37,12.52,0.01,0.01,134
4.54,4.37,12.50,0.01,0.01,53
4.54,4.38,12.53,0.01,0.01,255
4.54,4.37,12.50,0.01,0.01,53
4.54,4.38,12.52,0.01,0.01,42
4.54,4.38,12.52,0.01,0.01,42
4.54,4.38,12.52,0.01,0.01,42
4.54,4.38,12.52,0.01,0.01,42
4.54,4.37,12.50,0.01,0.01,53
4.54,4.38,12.53,0.01,0.01,255
4.54,4.37,12.50,0.01,0.01,53
4.54,4.38,12.52,0.01,0.01,42
4.54,4.38,12.52,0.01,0.01,42
4.54,4.36,12.52,0.01,0.01,169
4.54,4.38,12.52,0.01,0.01,42
4.54,4.38,12.52,0.01,0.01,42
4.54,4.36,12.52,0.01,0.01,169
4.54,4.38,12.51,0.01,0.01,76
4.54,4.38,12.52,0.01,0.01,42
4.54,4.38,12.52,0.01,0.01,42
4.54,4.38,12.52,0.01,0.01,42
4.54,4.38,12.52,0.01,0.01,42
4.54,4.38,12.51,0.01,0.01,76
4.54,4.38,12.52,0.01,0.01,42
4.54,4.38,12.52,0.01,0.01,42
4.54,4.38,12.51,0.01,0.01,76
4.54,4.38,12.51,0.01,0.01,76
4.54,4.38,12.52,0.01,0.01,42
4.54,4.38,12.51,0.01,0.01,76
4.54,4.38,12.52,0.01,0.01,42
4.54,4.36,12.52,0.01,0.01,169
